label,new_file,source_file,channels,seed
3D-Printed Part,3D-Printed Part_001.csv,3D-Printed Part_066.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_002.csv,3D-Printed Part_046.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_003.csv,3D-Printed Part_028.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_004.csv,3D-Printed Part_007.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_005.csv,3D-Printed Part_050.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_006.csv,3D-Printed Part_092.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_007.csv,3D-Printed Part_077.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_008.csv,3D-Printed Part_078.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_009.csv,3D-Printed Part_069.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_010.csv,3D-Printed Part_009.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_011.csv,3D-Printed Part_012.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_012.csv,3D-Printed Part_084.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_013.csv,3D-Printed Part_048.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_014.csv,3D-Printed Part_081.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_015.csv,3D-Printed Part_010.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_016.csv,3D-Printed Part_008.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_017.csv,3D-Printed Part_058.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_018.csv,3D-Printed Part_064.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_019.csv,3D-Printed Part_038.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_020.csv,3D-Printed Part_098.csv,"Thumb,Middle,Pinky",20260729
3D-Printed Part,3D-Printed Part_021.csv,3D-Printed Part_097.csv,"Thumb,Middle,Pinky",20260729
